COUNTER, INTERPOLATED, RAW_CQ, AF3, F7, F3, FC5, T7, P7, O1, O2, P8,T8, FC6, F4, F8, AF4, GYROX, GYROY, TIMESTAMP, MARKER_HARDWARE, ES_TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL
2,0,0,4540.89743589744,4211.79487179487,4237.94871794872,4158.97435897436,4243.84615384615,4234.35897435897,4219.8717948718,4204.61538461538,4192.17948717949,4191.53846153846,4125.89743589744,4159.23076923077,4172.94871794872,4437.05128205128,14987,6273,0.167891359880697,0,0.0647484883666039,0,0,0,0,
3,0,77,4530.25641025641,4213.07692307692,4245.12820512821,4160.25641025641,4244.23076923077,4240,4223.58974358974,4200.64102564103,4191.79487179487,4189.48717948718,4127.05128205128,4181.66666666667,4177.94871794872,4446.66666666667,14987,6273,0.175871580526875,0,0.0647484883666039,0,0,0,0,
4,0,168,4507.17948717949,4216.15384615385,4256.66666666667,4176.66666666667,4252.17948717949,4246.02564102564,4228.84615384615,4191.92307692308,4187.30769230769,4189.35897435897,4131.02564102564,4187.69230769231,4180,4442.5641025641,1483,1537,0.183851801173053,0,0.0647484883666039,0,0,0,0,
5,0,158,4503.71794871795,4215.89743589744,4253.58974358974,4181.15384615385,4255.51282051282,4244.61538461538,4227.69230769231,4197.82051282051,4185.25641025641,4186.53846153846,4130.89743589744,4187.30769230769,4175.89743589744,4435.25641025641,1483,1537,0.191832021819231,0,0.0647484883666039,0,0,0,0,
6,0,0,4509.8717948718,4212.82051282051,4230,4173.97435897436,4254.35897435897,4241.15384615385,4206.53846153846,4218.58974358974,4189.8717948718,4184.61538461538,4128.33333333333,4206.53846153846,4174.48717948718,4449.8717948718,1483,1537,0.199712242465409,0,0.0647484883666039,0,0,0,0,
7,0,0,4498.07692307692,4211.15384615385,4216.79487179487,4178.71794871795,4248.07692307692,4240.25641025641,4206.79487179487,4218.71794871795,4193.07692307692,4188.20512820513,4128.97435897436,4222.4358974359,4176.79487179487,4460.76923076923,1483,1537,0.207692463111587,0,0.0647484883666039,0,0,0,0,
8,0,0,4482.4358974359,4213.46153846154,4231.41025641026,4181.15384615385,4244.61538461538,4243.58974358974,4220.12820512821,4193.20512820513,4190.38461538462,4189.35897435897,4129.23076923077,4243.07692307692,4176.41025641026,4476.66666666667,5067,13185,0.215572683757765,0,0.0647484883666039,0,0,0,0,
9,0,0,4489.35897435897,4210.89743589744,4248.20512820513,4178.71794871795,4247.94871794872,4245.12820512821,4227.4358974359,4177.82051282051,4184.10256410256,4187.94871794872,4130.25641025641,4251.53846153846,4175,4490.64102564103,5067,13185,0.223352904403943,0,0.0647484883666039,0,0,0,0,
10,0,0,4506.15384615385,4204.10256410256,4258.97435897436,4172.17948717949,4247.94871794872,4241.15384615385,4216.28205128205,4173.84615384615,4179.48717948718,4190.12820512821,4128.84615384615,4257.17948717949,4171.66666666667,4501.92307692308,5067,13185,0.231233125050121,0,0.0647484883666039,0,0,0,0,
11,0,229,4501.66666666667,4205.51282051282,4259.74358974359,4176.15384615385,4249.8717948718,4245.89743589744,4225.51282051282,4169.8717948718,4184.35897435897,4189.10256410256,4127.94871794872,4249.23076923077,4173.71794871795,4495.89743589744,5067,13185,0.2392133456963,0,0.0647484883666039,0,0,0,0,
12,0,0,4521.66666666667,4204.10256410256,4276.02564102564,4166.92307692308,4245.89743589744,4246.15384615385,4229.61538461538,4175.64102564103,4189.61538461538,4187.82051282051,4126.02564102564,4264.74358974359,4175,4507.17948717949,9036,8513,0.247093566342478,0,0.0647484883666039,0,0,0,0,
13,0,247,4530.25641025641,4203.20512820513,4265.89743589744,4166.02564102564,4250.64102564103,4247.4358974359,4220.76923076923,4197.82051282051,4189.74358974359,4190,4126.53846153846,4271.92307692308,4174.74358974359,4502.17948717949,9036,8513,0.255073786988656,0,0.0647484883666039,0,0,0,0,
14,0,0,4541.15384615385,4198.07692307692,4267.30769230769,4167.05128205128,4251.15384615385,4238.20512820513,4217.05128205128,4213.97435897436,4189.10256410256,4186.53846153846,4124.35897435897,4275,4170,4493.84615384615,9036,8513,0.262954007634834,0,0.0647484883666039,0,0,0,0,
15,0,229,4541.28205128205,4203.71794871795,4265.38461538462,4173.84615384615,4256.79487179487,4235.76923076923,4227.82051282051,4217.17948717949,4190.38461538462,4186.02564102564,4127.5641025641,4259.23076923077,4172.4358974359,4482.30769230769,9036,8513,0.270934228281012,0,0.0647484883666039,0,0,0,0,
16,0,0,4568.07692307692,4203.20512820513,4272.94871794872,4165.51282051282,4248.71794871795,4231.66666666667,4232.69230769231,4211.15384615385,4188.84615384615,4192.5641025641,4126.28205128205,4255.12820512821,4171.92307692308,4491.15384615385,14028,1921,0.27881444892719,0,0.0647484883666039,0,0,0,0,
17,0,0,4575,4201.02564102564,4267.30769230769,4168.33333333333,4250.64102564103,4236.28205128205,4226.02564102564,4211.79487179487,4189.48717948718,4192.5641025641,4122.17948717949,4255.64102564103,4169.61538461538,4490.25641025641,14028,1921,0.286594669573368,0,0.0647484883666039,0,0,0,0,
18,0,0,4578.07692307692,4194.74358974359,4272.4358974359,4168.07692307692,4251.28205128205,4235.51282051282,4238.84615384615,4204.35897435897,4189.61538461538,4188.71794871795,4121.92307692308,4248.20512820513,4169.10256410256,4490.38461538462,14028,1921,0.294474890219546,0,0.0647484883666039,0,0,0,0,
19,0,0,4582.82051282051,4197.05128205128,4287.30769230769,4168.46153846154,4252.30769230769,4241.02564102564,4255.64102564103,4191.41025641026,4186.28205128205,4187.94871794872,4130,4222.69230769231,4171.79487179487,4484.61538461538,14028,1921,0.302455110865724,0,0.0647484883666039,0,0,0,0,
20,0,0,4584.61538461538,4198.97435897436,4274.8717948718,4164.23076923077,4250.51282051282,4247.30769230769,4250.64102564103,4195.12820512821,4186.15384615385,4186.41025641026,4130.76923076923,4204.74358974359,4171.92307692308,4490.76923076923,652,14977,0.310435331511902,0,0.0647484883666039,0,0,0,0,
21,0,0,4588.33333333333,4198.84615384615,4246.15384615385,4164.23076923077,4252.94871794872,4247.94871794872,4215.64102564103,4217.5641025641,4190.25641025641,4185.76923076923,4129.48717948718,4196.79487179487,4174.23076923077,4490.76923076923,652,14977,0.318415552158081,0,0.0647484883666039,0,0,0,0,
22,0,0,4588.33333333333,4196.92307692308,4236.28205128205,4161.15384615385,4256.79487179487,4241.92307692308,4201.92307692308,4231.15384615385,4192.5641025641,4185.64102564103,4129.61538461538,4179.74358974359,4174.23076923077,4490.89743589744,652,14977,0.326295772804259,0,0.0647484883666039,0,0,0,0,
23,0,0,4592.30769230769,4192.5641025641,4244.10256410256,4156.41025641026,4254.61538461538,4236.79487179487,4202.4358974359,4228.20512820513,4191.02564102564,4184.35897435897,4127.69230769231,4163.07692307692,4169.35897435897,4493.71794871795,652,14977,0.334175993450437,0,0.0647484883666039,0,0,0,0,
24,0,0,4579.61538461538,4190.12820512821,4241.15384615385,4159.23076923077,4255.89743589744,4238.97435897436,4204.23076923077,4214.23076923077,4189.10256410256,4183.97435897436,4126.53846153846,4152.94871794872,4166.79487179487,4481.53846153846,7244,6145,0.341956214096615,0,0.0647484883666039,0,0,0,0,
25,0,0,4591.79487179487,4182.94871794872,4233.07692307692,4153.71794871795,4250,4233.71794871795,4202.17948717949,4203.07692307692,4186.15384615385,4186.28205128205,4127.05128205128,4141.53846153846,4171.15384615385,4490.51282051282,7244,6145,0.349736434742793,0,0.0647484883666039,0,0,0,0,
26,0,0,4606.41025641026,4181.15384615385,4225.64102564103,4147.30769230769,4247.82051282051,4232.4358974359,4203.33333333333,4213.33333333333,4187.17948717949,4185.89743589744,4128.07692307692,4134.8717948718,4174.8717948718,4506.28205128205,7244,6145,0.357616655388971,0,0.0647484883666039,0,0,0,0,
27,0,0,4598.58974358974,4179.35897435897,4228.20512820513,4140.89743589744,4242.17948717949,4225.38461538462,4199.10256410256,4226.28205128205,4191.02564102564,4187.5641025641,4125.64102564103,4140.12820512821,4172.5641025641,4520.51282051282,7244,6145,0.365596876035149,0,0.0647484883666039,0,0,0,0,
28,0,0,4576.28205128205,4178.84615384615,4242.69230769231,4144.8717948718,4242.30769230769,4221.28205128205,4200.76923076923,4231.79487179487,4193.84615384615,4187.94871794872,4127.5641025641,4140.38461538462,4174.35897435897,4510.51282051282,14924,12673,0.373477096681327,0,0.0647484883666039,0,0,0,0,
29,0,0,4580.12820512821,4169.23076923077,4241.66666666667,4136.92307692308,4234.74358974359,4213.84615384615,4204.23076923077,4231.79487179487,4193.07692307692,4184.74358974359,4127.94871794872,4155,4175.25641025641,4520.89743589744,14924,12673,0.381457317327505,0,0.0647484883666039,0,0,0,0,
30,0,0,4575.76923076923,4165.64102564103,4234.61538461538,4141.15384615385,4231.02564102564,4217.94871794872,4199.8717948718,4225.25641025641,4188.97435897436,4184.35897435897,4127.5641025641,4158.71794871795,4172.05128205128,4520,14924,12673,0.389337537973683,0,0.0647484883666039,0,0,0,0,
31,0,0,4569.23076923077,4161.92307692308,4243.33333333333,4141.66666666667,4223.07692307692,4211.92307692308,4198.71794871795,4211.15384615385,4183.46153846154,4186.53846153846,4126.53846153846,4189.8717948718,4168.20512820513,4535.76923076923,14924,12673,0.397317758619862,0,0.0647484883666039,0,0,0,0,
32,0,0,4559.74358974359,4163.20512820513,4242.30769230769,4143.97435897436,4222.82051282051,4206.53846153846,4207.17948717949,4206.15384615385,4183.20512820513,4187.30769230769,4130.25641025641,4221.28205128205,4174.8717948718,4544.61538461538,6860,5568,0.40519797926604,0,0.0647484883666039,0,0,0,0,
33,0,0,4548.84615384615,4160.89743589744,4264.23076923077,4137.17948717949,4218.97435897436,4202.4358974359,4215.38461538462,4198.97435897436,4185.64102564103,4185.51282051282,4129.10256410256,4251.53846153846,4175,4547.05128205128,6860,5568,0.412978199912218,0,0.0647484883666039,0,0,0,0,
34,0,0,4528.20512820513,4161.53846153846,4272.4358974359,4138.46153846154,4218.46153846154,4203.46153846154,4204.61538461538,4189.35897435897,4183.46153846154,4187.17948717949,4129.61538461538,4243.71794871795,4171.79487179487,4544.35897435897,6860,5568,0.420858420558396,0,0.0647484883666039,0,0,0,0,
35,0,0,4548.71794871795,4161.53846153846,4270.89743589744,4135.12820512821,4213.97435897436,4201.53846153846,4202.69230769231,4181.79487179487,4177.69230769231,4190.12820512821,4130.38461538462,4266.15384615385,4174.23076923077,4559.10256410256,6860,5568,0.428838641204574,0,0.0647484883666039,0,0,0,0,
36,0,0,4552.82051282051,4165.51282051282,4245.51282051282,4140.51282051282,4217.17948717949,4202.5641025641,4201.79487179487,4179.74358974359,4178.97435897436,4188.58974358974,4135.51282051282,4287.69230769231,4181.28205128205,4566.02564102564,13964,2880,0.436818861850752,0,0.0647484883666039,0,0,0,0,
37,0,0,4544.23076923077,4170.25641025641,4258.33333333333,4140.12820512821,4218.97435897436,4202.4358974359,4193.46153846154,4181.53846153846,4183.58974358974,4189.48717948718,4138.71794871795,4291.66666666667,4180.76923076923,4565.25641025641,13964,2880,0.44459908249693,0,0.0647484883666039,0,0,0,0,
38,0,0,4546.92307692308,4168.97435897436,4278.58974358974,4135.51282051282,4216.53846153846,4197.94871794872,4169.8717948718,4187.5641025641,4186.41025641026,4192.94871794872,4138.20512820513,4300.25641025641,4179.23076923077,4572.94871794872,13964,2880,0.452479303143108,0,0.0647484883666039,0,0,0,0,
39,0,0,4575,4167.30769230769,4288.07692307692,4135.25641025641,4212.4358974359,4197.05128205128,4175.51282051282,4191.15384615385,4187.05128205128,4189.48717948718,4135.89743589744,4320.38461538462,4180.89743589744,4583.07692307692,13964,2880,0.460459523789286,0,0.0647484883666039,0,0,0,0,
40,0,0,4609.8717948718,4164.8717948718,4308.07692307692,4129.74358974359,4202.69230769231,4192.30769230769,4176.41025641026,4191.41025641026,4187.82051282051,4182.82051282051,4136.53846153846,4352.17948717949,4183.33333333333,4596.02564102564,2188,2560,0.468439744435464,0,0.0647484883666039,0,0,0,0,
41,0,0,4612.30769230769,4166.66666666667,4302.82051282051,4130.25641025641,4199.8717948718,4190.38461538462,4174.8717948718,4196.79487179487,4189.23076923077,4189.10256410256,4137.69230769231,4349.8717948718,4183.33333333333,4595.12820512821,2188,2560,0.476419965081643,0,0.0647484883666039,0,0,0,0,
42,0,0,4632.94871794872,4161.66666666667,4308.58974358974,4125.89743589744,4192.5641025641,4184.10256410256,4172.05128205128,4198.46153846154,4186.79487179487,4194.8717948718,4132.30769230769,4350.64102564103,4178.97435897436,4606.02564102564,2188,2560,0.484300185727821,0,0.0647484883666039,0,0,0,0,
43,0,0,4643.20512820513,4162.94871794872,4324.23076923077,4123.46153846154,4191.53846153846,4181.66666666667,4172.69230769231,4194.74358974359,4183.71794871795,4191.02564102564,4130.12820512821,4350.64102564103,4179.61538461538,4605.12820512821,2188,2560,0.492280406373999,0,0.0647484883666039,0,0,0,0,
44,0,0,4661.15384615385,4160.38461538462,4357.30769230769,4114.35897435897,4186.02564102564,4176.15384615385,4166.41025641026,4185,4183.46153846154,4187.4358974359,4130.64102564103,4352.5641025641,4179.10256410256,4599.48717948718,4748,2496,0.500160627020177,0,0.0647484883666039,0,0,0,0,
45,0,0,4650,4161.41025641026,4340.25641025641,4118.07692307692,4188.84615384615,4181.28205128205,4165.64102564103,4178.33333333333,4183.97435897436,4189.8717948718,4134.48717948718,4335.25641025641,4178.97435897436,4587.4358974359,4748,2496,0.507940847666355,0,0.0647484883666039,0,0,0,0,
46,0,0,4663.33333333333,4158.20512820513,4335.38461538462,4106.15384615385,4181.41025641026,4175,4170,4178.20512820513,4180.64102564103,4192.69230769231,4131.66666666667,4335.76923076923,4177.30769230769,4595,4748,2496,0.515821068312533,0,0.0647484883666039,0,0,0,0,
47,0,0,4661.79487179487,4160.51282051282,4347.4358974359,4101.79487179487,4177.82051282051,4172.4358974359,4172.4358974359,4186.92307692308,4182.5641025641,4191.28205128205,4130.12820512821,4321.79487179487,4177.5641025641,4583.46153846154,4748,2496,0.523801288958711,0,0.0647484883666039,0,0,0,0,
48,0,0,4658.07692307692,4158.84615384615,4352.30769230769,4098.58974358974,4174.61538461538,4171.15384615385,4179.23076923077,4188.84615384615,4187.82051282051,4187.5641025641,4129.35897435897,4301.66666666667,4174.61538461538,4578.33333333333,5772,3072,0.531681509604889,0,0.539461731910706,0,0,0,0,
49,0,0,4663.07692307692,4157.4358974359,4336.66666666667,4103.20512820513,4177.69230769231,4174.10256410256,4174.35897435897,4184.74358974359,4189.48717948718,4189.23076923077,4130.64102564103,4286.53846153846,4177.69230769231,4572.5641025641,5772,3072,0.539461730251067,0,0.539461731910706,0,0,0,0,
50,0,0,4667.94871794872,4155.89743589744,4334.61538461538,4097.5641025641,4171.79487179487,4171.15384615385,4176.15384615385,4182.05128205128,4185.38461538462,4194.48717948718,4130.76923076923,4289.35897435897,4178.97435897436,4575.64102564103,5772,3072,0.547341950897245,0,0.539461731910706,0,0,0,0,
51,0,0,4667.4358974359,4156.79487179487,4342.5641025641,4093.07692307692,4170,4169.8717948718,4180.25641025641,4184.23076923077,4182.5641025641,4191.02564102564,4134.23076923077,4282.17948717949,4179.8717948718,4577.05128205128,5772,3072,0.555322171543424,0,0.539461731910706,0,0,0,0,
52,0,0,4671.66666666667,4156.53846153846,4344.35897435897,4091.92307692308,4174.48717948718,4169.48717948718,4179.23076923077,4186.15384615385,4184.61538461538,4187.17948717949,4135.64102564103,4267.05128205128,4184.23076923077,4578.97435897436,5964,3136,0.563102392189602,0,0.539461731910706,0,0,0,0,
53,0,0,4659.35897435897,4163.07692307692,4327.5641025641,4103.71794871795,4179.8717948718,4174.48717948718,4155.76923076923,4191.92307692308,4187.4358974359,4191.66666666667,4138.20512820513,4240.76923076923,4187.82051282051,4565.76923076923,5964,3136,0.57088261283578,0,0.539461731910706,0,0,0,0,
54,0,0,4642.69230769231,4164.8717948718,4325.64102564103,4102.82051282051,4174.74358974359,4174.8717948718,4141.79487179487,4197.17948717949,4188.84615384615,4193.97435897436,4141.02564102564,4254.23076923077,4186.15384615385,4560.64102564103,5964,3136,0.578762833481958,0,0.539461731910706,0,0,0,0,
55,0,0,4649.8717948718,4159.10256410256,4342.82051282051,4091.41025641026,4168.97435897436,4166.66666666667,4143.71794871795,4195,4189.61538461538,4189.10256410256,4139.74358974359,4289.10256410256,4184.8717948718,4575.25641025641,5964,3136,0.586743054128136,0,0.539461731910706,0,0,0,0,
56,0,0,4649.23076923077,4158.84615384615,4345.25641025641,4094.8717948718,4172.94871794872,4165,4147.05128205128,4193.58974358974,4191.15384615385,4188.71794871795,4137.94871794872,4282.82051282051,4185.89743589744,4573.46153846154,5708,3008,0.594623274774314,0,0.539461731910706,0,0,0,0,
57,0,0,4636.53846153846,4162.05128205128,4317.69230769231,4100,4170.51282051282,4167.30769230769,4131.28205128205,4199.8717948718,4190.64102564103,4193.71794871795,4137.30769230769,4278.71794871795,4186.41025641026,4580.64102564103,5708,3008,0.602403495420492,0,0.539461731910706,0,0,0,0,
58,0,0,4640.38461538462,4157.30769230769,4311.41025641026,4100.25641025641,4163.07692307692,4167.4358974359,4133.97435897436,4202.17948717949,4187.82051282051,4189.74358974359,4138.46153846154,4307.69230769231,4186.79487179487,4595,5708,3008,0.61028371606667,0,0.539461731910706,0,0,0,0,
59,0,0,4654.23076923077,4150.25641025641,4332.05128205128,4093.46153846154,4157.17948717949,4161.02564102564,4147.82051282051,4192.69230769231,4182.4358974359,4185.64102564103,4135.25641025641,4344.23076923077,4183.07692307692,4613.46153846154,5708,3008,0.618063936712848,0,0.539461731910706,0,0,0,0,
